Feature,Correlation,Total Hits
ab,0.0025825748573010177,13.0
aback,0.008143763275731759,14.0
abandon,-0.0012689150647727373,15.0
abandoned,0.0016931275921544648,31.0
abdomen,-0.0016697553905122193,10.0
abdominal,-7.325860373347501E-4,5.0
abducted,-0.004125284458130904,8.0
abe,-0.006088361829080278,58.0
abes,-0.0012641884221326336,6.0
abide,-0.0032612937835676276,5.0
abigail,0.015326934022601253,24.0
abigails,0.008900765462552215,5.0
abilities,-0.002824142711858671,10.0
ability,-0.0029493595922825628,30.0
able,-0.0017112842337031072,308.0
ableman,-0.004391755506826302,16.0
aboard,-5.087831481867932E-4,55.0
abortion,0.005870402316162977,8.0
abou,0.0017961217088719001,5.0
about,3.055292975665831E-4,6329.0
above,-0.004502202042286615,155.0
abroad,-0.003420174029650154,12.0
abruptly,-0.002253322335366514,32.0
absence,3.6642063133577723E-4,6.0
absent,-0.0017216772693486693,7.0
absently,-1.2700974844286034E-4,8.0
absolute,3.752834613494185E-6,30.0
absolutely,-0.005257003816294538,157.0
absorb,-7.325860373347501E-4,5.0
absorbed,0.0017961217088719001,5.0
absurd,0.0018086780764994845,18.0
abu,-0.0012641884221326336,6.0
abuse,-8.569199620626617E-4,18.0
abused,0.0018721276064350013,8.0
abusive,-0.0032612937835676276,5.0
abyss,-0.0032612937835676276,5.0
academic,-0.004375538310660384,9.0
academy,0.0013026595108100955,30.0
accelerate,0.0017961217088719001,5.0
accelerator,-0.0016329822313759191,15.0
accent,0.0025434747203988244,26.0
accept,-0.0023165721996754457,123.0
acceptable,-0.003420174029650154,12.0
acceptance,0.0025825748573010177,13.0
accepted,-0.002193685283866528,34.0
accepting,5.875955805609599E-4,14.0
accepts,-0.001748216808636927,21.0
access,-0.0012241245506627685,69.0
accessible,0.0010442024310762714,6.0
accessory,-0.0014275977847681262,11.0
accident,-0.0011032446281079866,184.0
accidental,-0.0032612937835676276,5.0
accidentally,-5.142733597557981E-4,21.0
accidents,-5.280107021872144E-4,17.0
accommodate,-0.0032612937835676276,5.0
accommodation,0.0017961217088719001,5.0
accompanied,-0.0024907277698375287,9.0
accompany,-1.555564420464685E-4,12.0
accomplice,-1.555564420464685E-4,12.0
accomplish,0.0020988291195938014,14.0
accomplished,-0.0037631937644149647,19.0
accomplishments,0.003352593284258052,6.0
according,-0.0017460623831706329,63.0
accordingly,-0.003572579275316084,6.0
account,-0.0027723402156662634,114.0
accountant,0.005655443884826328,21.0
accounted,-0.0021261471032678323,8.0
accounting,-5.53977863632669E-4,13.0
accounts,-0.004599361514095055,17.0
accurate,0.00159773438121648,22.0
accusation,-0.003572579275316084,6.0
accuse,-0.004837369214595186,11.0
accused,1.9107970705165106E-4,15.0
accusing,-0.0019016744710306616,7.0
accusingly,0.004324829455084881,5.0
accustomed,0.004324829455084881,5.0
ace,-0.005383808386777207,43.0
aces,-0.0012641884221326336,6.0
ach,4.1548392002559566E-4,7.0
ache,5.875955805609599E-4,14.0
achieve,-0.0024907277698375287,9.0
achieved,-0.0024907277698375287,9.0
achievement,-7.325860373347501E-4,5.0
aching,0.0018721276064350013,8.0
acid,-0.0010996761472485735,23.0
acknowledge,0.002404233597288466,12.0
acknowledges,-0.003572579275316084,6.0
acquaintance,-0.005688406319358926,16.0
acquainted,-0.0024907277698375287,9.0
acquire,-0.0042103551136733605,9.0
acquired,-0.0017216772693486693,7.0
acres,7.520447910905068E-4,10.0
across,-0.002460943414644378,399.0
act,2.607351139320843E-4,281.0
acted,1.2857206268543538E-4,19.0
acting,0.0036022344463189425,97.0
action,-0.009326428776246065,136.0
actions,7.77340865121999E-4,26.0
activate,-0.002812025590472831,15.0
activated,-7.325860373347501E-4,5.0
active,0.002338018848534767,22.0
activist,-0.0030939302090597083,5.0
activities,-0.0024348714975328326,14.0
activity,-5.043513607873229E-4,29.0
actor,-0.0026061093203328636,42.0
actors,-0.005991293116764421,24.0
actress,0.00382408294130846,18.0
acts,-2.708091978665046E-4,38.0
actual,0.0023678209832182226,24.0
actually,-0.0042857346300468726,424.0
acute,-0.0012641884221326336,6.0
ad,-0.0028283362705697067,38.0
ada,-0.0024907277698375287,9.0
adam,-0.0040281177938699,57.0
adamantium,-0.0036897485257064095,7.0
adams,0.0012788933118264667,9.0
adapt,-0.0017216772693486693,7.0
add,-0.004562637105462704,68.0
added,-0.004636919170813743,23.0
addict,0.004136000701508988,6.0
addicted,-0.0017216772693486693,7.0
adding,-0.0021222542241039967,13.0
addition,-0.0028814508067470305,10.0
additional,-0.003132483499680388,11.0
address,-0.0012128657725393782,121.0
addressed,-0.0021261471032678323,8.0
addresses,-8.569199620626617E-4,18.0
addressing,-0.0010360489603740833,10.0
adequate,-0.0017216772693486693,7.0
adieu,-0.0019016744710306616,7.0
adios,-0.003572579275316084,6.0
adjacent,-0.0014275977847681262,11.0
adjust,0.002720561507628752,16.0
adjusted,-0.003572579275316084,6.0
adjusting,0.0017961217088719001,5.0
adjustments,0.006020790736598361,6.0
adjusts,0.0025825748573010177,13.0
adlai,-0.004677665614481489,11.0
adler,-9.794770295600624E-4,25.0
administered,-0.003572579275316084,6.0
administration,1.9107970705165106E-4,15.0
administrator,-0.0032612937835676276,5.0
admirable,-5.53977863632669E-4,13.0
admiral,-0.0014652393268905991,20.0
admiration,-0.004612236463339998,10.0
admire,-9.07817047999971E-4,32.0
admired,-1.2700974844286034E-4,8.0
admirer,-1.1360041637808323E-4,7.0
admires,0.006271396968545752,8.0
admiring,0.0010442024310762714,6.0
admit,2.2398957715367672E-4,96.0
admits,2.772879301883688E-4,11.0
admitted,-0.0015932614909174544,16.0
admitting,0.006116326045511155,10.0
adolescent,0.003352593284258052,6.0
adolf,-0.003572579275316084,6.0
adopt,7.520447910905068E-4,10.0
adopted,0.008472673172860545,18.0
adopting,0.006826967488250917,7.0
adorable,0.006853537201305671,5.0
adore,0.005324189783686077,12.0
adored,-0.0021261471032678323,8.0
adrenaline,-0.0017966856210876949,16.0
adrian,-0.0038401781152944334,45.0
adrians,4.1548392002559566E-4,7.0
ads,-0.003572579275316084,6.0
adult,-0.001748216808636927,21.0
adults,-2.0082741922652946E-4,20.0
advance,0.0012946373480246197,47.0
advanced,-0.005060449040032225,19.0
advances,-0.002465938488792004,19.0
advancing,0.003352593284258052,6.0
advantage,-0.0034572208656421712,33.0
adventure,0.0033034860217933553,27.0
adventurer,0.006271396968545752,8.0
adventures,-1.2700974844286034E-4,8.0
adversary,-0.0012641884221326336,6.0
advertising,-0.003858838458765724,7.0
advice,-0.0022672110388674096,90.0
advise,-0.0014652393268905991,20.0
advised,-0.004375538310660384,9.0
advising,-0.0032612937835676276,5.0
advisor,-0.003858838458765724,7.0
advisors,-1.2700974844286034E-4,8.0
aerial,-0.0033682531716568865,6.0
aesthetic,-1.2700974844286034E-4,8.0
